제목,평점,리뷰
트루먼 쇼,10,98년도에 나온 영화 ㄷㄷ 마지막 피자먹는 놈들 대사가 너무 소름돋는다 현재를 보여주는 명작이다
샤넬과 스트라빈스키,6,매즈 때문에 봤는데 배우분들 연기랑 영상미만 좋고 불륜이 너무 불쾌함
테넷,10,이해하면 개꿀잼임 두번 보니까 이해 가더라
차인표,10,
너와 파도를 탈 수 있다면,10,
비블리아 고서당 사건수첩,1,보지마요차라리 드라마를 보세요원작요소가 1도안들어가있는 캐릭터구성에 이름만 같고 연기들도 이상해요이걸 굳이 찾아내서 본 제 자신이 원망스러울정도예요찐...이거 원작은 1도안읽은사람이 줄거리만 다소 알고 배낀것보다도 못해요시오리코라면 절대적으로 하지않을 짓들이 많이 나오며캐릭터들도 1도 개연성이 없구요진행될수록 깊은 빡침이 생기고 내용이 허무하다못해그 좋은 책을 이런 쓰레기로 만들수있구나에 감탄했어요부디 이걸 보시려는 분은 제발 절 믿고 보고 시간낭비하지않게 보지마세요 ㅠ블루레이 DX구매해서 본게 진짜 너무 후회되요
화양연화,8,미혼인채로 본 화양연화는 공감이가지 않았다. 하지만 영감을 많이 받을수있었다.
원더 우먼 1984,1,씨네신병 이용철 이 끼새개는 죽지도 않고 계속 평점질이네
내가 죽던 날,10,"저변에 깔린 깊은 페미니즘, 잔잔히 흐르는것 같지만 스릴러처럼 몰입하게 된다. 천재적 연출이다. 감독에게 기립 박수를 보내고 싶다. 이정은은 악마다. 인간의 연기가 아니다."
반지의 제왕: 두 개의 탑,8,재밌게 봤지만 프로도 진짜 개 암덩어리.
나쁜 녀석들,4,마동석 나쁜녀석들이 약 10배정더 THE 재미있습니다
내가 죽던 날,10,죽었던 또 다른 나를 구원하기 위한 여정
혐오스런 마츠코의 일생,10,
박화영,2,은미정ㅡㅡ현실성 없다
레버넌트: 죽음에서 돌아온 자,8,"광활한 아메리카 대자연속 생존을 위한 사투와 그속의 인디언과 개척자들의 대립, 재밌게 보았으나 다소 호불호가 있을 것 같다."
차인표,1,우와.. 보다 갑갑해서 껏다별 10개는 알바또는 가족 지인
원더 우먼 1984,2,원더우먼이 남자때문에 일류를 버릴려고하는데 어이 상실.그럼 슈퍼맨은 자냐
올드 가드,1,"나는 제작비가 적어도 독창적인 스토리의 영화를 좋아하는 편이다. 이 영화는 스토리가 독특하긴하나 결론적으론 지루하고 따분하다. 특히 여자 주인공들은 살아있는 눈빛, 남자 주인공들은 마약중독자나 노숙자 행색으로 설정한 점이나 2인자는 가장 나중에 들어온 가장 어린 흑인여성이 되는등 의도적으로 여성만 부각시키고 남자는 폄하하려고 굉장히 노력한 흔적이 보인다. 이걸 대체 뭐라고 불러야할까? 성차별? 사실왜곡? 이걸 보니 요새 한국에서 많은 화두가 되고있는 꼴페미란 단어가 떠오르면서 평생 한 번도 관심이 없던 주제에 관심이 생기기 시작했다."
파수꾼,9,"고의사구를 던지는 투수, 홈런을 치려는 타자"
